Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
251,0,1,1,4,2,0,0,3,6,4,5,7,0,3,3,2,8,2,1,2,1,1,3,2,5,12,2
715,5,4,0,4,3,4,10,3,9,6,3,0,0,3,0,2,8,2,1,2,1,1,1,2,5,2,2
715,5,2,1,2,0,0,10,3,4,1,5,0,0,3,0,2,8,2,1,2,1,1,3,2,5,16,2
917,4,0,1,0,0,0,0,3,7,4,5,7,2,3,0,8,1,2,1,11,0,1,0,2,5,13,2
917,4,1,1,4,0,3,4,3,9,4,5,7,0,3,0,8,1,2,1,3,1,0,0,2,5,0,2
945,4,0,1,2,0,0,0,3,1,2,5,7,0,3,0,4,8,2,1,2,1,1,1,2,5,11,2
945,4,1,2,4,0,1,5,3,6,6,5,7,0,3,0,4,8,2,1,9,0,1,1,2,5,0,2
1007,6,1,1,0,1,1,7,3,5,2,5,7,0,3,3,4,8,2,2,9,3,2,5,3,5,10,2
1007,6,1,1,2,0,3,8,3,5,2,5,7,0,3,3,4,8,2,2,7,1,0,3,2,5,9,2
364,5,2,1,1,0,2,4,3,5,4,5,7,0,3,3,2,8,1,1,7,0,0,0,2,5,0,1
715,0,0,1,2,0,0,6,0,5,4,5,7,0,3,0,4,8,2,3,7,0,1,0,2,5,13,1
715,0,0,1,2,0,2,8,3,5,6,3,7,0,3,0,4,8,2,3,3,3,2,5,3,5,10,1
715,0,0,1,2,0,1,4,3,12,6,3,7,0,3,0,4,8,2,3,2,0,1,1,1,5,9,1
